time,latitude,longitude,depth,mag,place
2023-04-09 11:44:44.984000+00:00,9.0971,93.7971,10.0,4.4,"Nicobar Islands, India region"
2023-04-09 10:44:50.822000+00:00,9.1044,93.9484,10.287,4.4,"Nicobar Islands, India region"
2023-04-09 10:38:58.795000+00:00,9.0886,93.9474,10.0,4.9,"Nicobar Islands, India region"
2023-04-09 10:31:20.479000+00:00,8.9326,93.9552,10.0,5.5,"Nicobar Islands, India region"
2023-04-09 09:29:47.096000+00:00,9.0979,93.9434,10.438,4.6,"Nicobar Islands, India region"
2023-04-09 09:25:52.959000+00:00,9.3635,93.9687,10.0,4.3,"287 km SSE of Port Blair, India"
2023-04-09 08:14:50.840000+00:00,8.9963,93.8953,10.0,4.5,"Nicobar Islands, India region"
2023-04-09 07:46:14.580000+00:00,9.096,94.0003,10.0,5.3,"Nicobar Islands, India region"
2023-04-09 06:52:06.387000+00:00,9.1594,93.6124,10.0,4.3,"293 km SSE of Port Blair, India"
2023-04-08 15:47:41.359000+00:00,9.1198,94.0206,10.0,4.4,"Nicobar Islands, India region"
2023-04-08 11:24:20.245000+00:00,8.9628,94.0271,10.204,4.3,"Nicobar Islands, India region"
2023-04-08 11:13:30.394000+00:00,9.1421,93.9949,11.543,4.3,"Nicobar Islands, India region"
2023-04-08 11:06:11.514000+00:00,9.1273,93.9306,8.194,4.6,"Nicobar Islands, India region"
2023-04-04 17:17:42.936000+00:00,9.058,93.9052,9.989,5.0,"Nicobar Islands, India region"
2023-04-03 08:22:04.572000+00:00,25.8896,90.446,10.0,4.4,"20 km SE of Lakhipur, India"
2023-03-31 18:26:41.006000+00:00,11.8777,93.7469,126.636,4.2,"111 km ENE of Port Blair, India"
2023-03-24 03:22:42.572000+00:00,24.1675,93.794,78.995,4.4,"Manipur, India region"
2023-03-15 04:52:02.152000+00:00,9.6093,93.7038,114.367,4.0,"250 km SSE of Port Blair, India"
2023-03-13 13:44:29.010000+00:00,11.0773,91.7251,36.766,4.4,"128 km WSW of Bamboo Flat, India"
2023-03-12 11:43:43.297000+00:00,24.276,94.7151,113.11,4.6,"74 km ESE of Wāngjing, India"
2023-03-07 11:11:46.454000+00:00,13.3077,92.4291,10.0,4.9,"180 km N of Bamboo Flat, India"
2023-03-05 23:37:11.420000+00:00,7.6244,91.7592,10.0,5.1,"Nicobar Islands, India region"
